codice_linea;codice_fermata;denominazione;ubicazione;comune;coordinata_x;coordinata_y;latitudine;longitudine;codice_zona
1;110106;FORNACE;VIALE AMENDOLA 169;IMOLA;714448;915905;44,362956;11,690158;510
1;124510;MILANA;VIA PAMBERA 22/D;IMOLA;715720;915996;44,363397;11,706141;510
1;131129;IMOLA OSPEDALE NUOVO;VIA MONTERICCO 1;IMOLA;714430;915240;44,356981;11,689658;510
1;132106;BIANCONCINI;V.LE SAFFI 43;IMOLA;716018;914821;44,352742;11,709389;510
1;133102;IMOLA BELVEDERE;VIA BELVEDERE FR 5;IMOLA;714569;915682;44,360914;11,691583;510
1;150106;IMOLA IST. ALBERGHETTI;V.LE DANTE 8;IMOLA;716314;914557;44,35028;11,712989;510
1;151102;IMOLA PORTA MAZZINI;V.LE ZAPPI PL 21;IMOLA;716262;914656;44,351185;11,712379;510
1;152102;IMOLA GUICCIARDINI;VIA GUICCIARDINI 4;IMOLA;716700;914279;44,347665;11,717711;510
1;600017;SAN ROCCO MEDAGLIE D`ORO;RAMPARI SAN ROCCO 15;FERRARA;708261;967895;44,832309;11,633646;600
1;600020;SAN ROCCO FARMACIA;RPA DI SAN ROCCO F 10;FERRARA;708295;968730;44,839808;11,634418;600
1;600158;CAVOUR BARRIERA;VLE CAVOUR 210;FERRARA;706341;969013;44,842921;11,609836;600
1;600161;CAVOUR ISONZO;VIALE CAVOUR 185/A;FERRARA;706586;968857;44,841447;11,612869;600
1;600203;GIOVECCA CITTA` DELLA SAL;CSO DELLA GIOVECCA F180;FERRARA;708044;967953;44,832894;11,630927;600
1;600206;GIOVECCA PARCO PARESCHI;CSO DELLA GIOVECCA 148;FERRARA;707848;968055;44,833868;11,628492;600
1;600242;FRUTTETI SALICE;VIA DEI FRUTTETI 140/144;FERRARA;708906;968270;44,835493;11,641951;600
1;600251;BORGO PUNTA;VIA BORGO PUNTA 92;FERRARA;708691;969186;44,843793;11,639611;600
1;600624;TURCHI;VIA TURCHI GAETANO 2;FERRARA;708737;968078;44,833816;11,639737;600
101;19;PORTA SAN DONATO;VIALE BERTI PICHAT 30;BOLOGNA;687437;930211;44,49912;11,356656;500
101;305;PORTA SAN DONATO;VIA IRNERIO 57;BOLOGNA;687319;930131;44,498431;11,355144;500
101;1012;FERMI;VIA EMILIA LEVANTE 6/5;BOLOGNA;688846;928564;44,483938;11,373763;500
101;1028;ARNO;VIA EMILIA LEVANTE 194/14;BOLOGNA;690142;927922;44,477824;11,389811;500
101;1044;SAN LAZZARO MUNICIPIO;VIA EMILIA 165;SAN LAZZARO DI SAVENA;691654;927164;44,470607;11,408526;501
101;1504;CICOGNA FONDAZIONE CIRULL;VIA EMILIA FR 262;SAN LAZZARO DI SAVENA;692830;926586;44,465095;11,423083;501
101;10006;IDICE TRE PONTI;VIA EMILIA 379;IDICE;694545;925716;44,45681;11,444297;501
101;10009;MARESCOTTA;VIA EMILIA 484;SAN LAZZARO DI SAVENA;695136;925436;44,454133;11,451613;501
101;10022;OZZANO;VIA EMILIA 113;OZZANO DELL`EMILIA;697132;924474;44,444939;11,476312;511
101;10025;OZZANO PIAVE;VIA EMILIA FR 213;OZZANO DELL`EMILIA;697855;924105;44,441423;11,485249;511
101;10038;MAGGIO;VIA EMILIA 317;MAGGIO;699170;923485;44,435486;11,50152;512
101;10041;PONTE QUADERNA;VIA EMILIA PONENTE 7031;OSTERIA GRANDE;699773;923172;44,432505;11,508969;512
101;10054;SAN NICOLO` DI VARIGNANA;VIA EMILIA PONENTE 5218;CASTEL SAN PIETRO TERME;701409;922378;44,42491;11,529196;512
101;10057;BASTIANA;VIA EMILIA PONENTE 4515;CASTEL SAN PIETRO TERME;701999;922080;44,422066;11,536485;513
101;10070;MAGIONE;VIA EMILIA PONENTE 15;CASTEL SAN PIETRO TERME;704571;920815;44,409967;11,568264;513
101;10073;CASTEL S.PIETRO T. FIAT;VIA EMILIA PONENTE 211;CASTEL SAN PIETRO TERME;705890;920142;44,40354;11,584547;513
101;10077;CASTEL S.PIETRO MARTIRI P;PIAZZA MARTIRI PARTIGIANI FR 8;CASTEL SAN PIETRO TERME;706335;919707;44,399501;11,589957;513
101;10083;TOSCANELLA 25 APRILE;VIA EMILIA (SS 9) KM 85+300;TOSCANELLA;709896;918163;44,384593;11,634004;514
101;10086;RIO ROSSO;VIA EMILIA LEVANTE 2273;CASTEL SAN PIETRO TERME;708794;918714;44,389867;11,620405;513
101;10102;DOZZA BIVIO;VIA EMILIA FR 181;DOZZA;711755;917251;44,375851;11,656946;514
101;11834;SCANIA TOGLIATTI;VIA SCANIA 100MT PRIMA INTERSEZIONE VIA;CASTEL SAN PIETRO TERME;705250;919930;44,401815;11,576434;513
101;110110;AMENDOLA;VIALE AMENDOLA 95;IMOLA;715398;915430;44,358403;11,70187;510
101;114101;IMOLA CENTRO COMMERCIALE;VIALE CARDUCCI 38;IMOLA;715878;915354;44,357577;11,707855;510
101;122102;IMOLA AUTOSTAZIONE;TERMINAL IMOLA;IMOLA;716596;915415;44,357911;11,71688;510
101;137103;IMOLA SAN BENEDETTO;VIA SAN BENEDETTO INGRESSO ITIS;IMOLA;714672;914796;44,352916;11,692509;510
101;152102;IMOLA GUICCIARDINI;VIA GUICCIARDINI 4;IMOLA;716700;914279;44,347665;11,717711;510
103;10078;CASTEL S.PIETRO MARTIRI P;PIAZZA DEI MARTIRI PARTIGIANI 7;CASTEL SAN PIETRO TERME;706342;919726;44,39967;11,590052;513
